Items,Work Scheduling Autonomy,Decision Making Autonomy,Work Methods Autonomy,Task Variety,Task Significance,Task Identity,Feedback from Job,Job Complexity,Information Processing,Problem Solving,Skill Variety,Specialization,Social Support,Initiated Interdependence ,Received Interdependence,Interaction Outside Research Group,Feedback from Others,Faculty/projecdt leader feedback,Peer Feedback,Ergonomics,Physical Demands,Work Conditions,Equipment Use
Fake Case 1,5.3,2.7,4.0,6.5,6.3,4.8,4.7,6.0,4.8,5.8,5.0,4.0,4.0,4.3,6.3,5.8,4.7,5.3,3.3,3.0,5.7,5.2,4.0
Fake Case 2,3.3,2.7,2.7,5.8,5.8,4.0,4.3,4.5,3.8,5.8,4.0,4.0,2.0,4.3,6.3,5.0,3.7,2.0,1.3,3.0,5.7,4.8,2.7
Fake Case 3,3.7,3.7,4.7,5.5,6.5,5.0,4.7,5.0,4.8,5.5,4.5,5.3,3.0,4.0,7.0,5.5,3.7,3.0,2.3,3.7,5.3,5.8,4.0
Fake Case 4,4.7,3.0,2.7,4.0,3.5,2.3,2.7,3.3,1.8,3.3,2.8,2.3,1.7,2.3,4.0,3.0,1.0,2.0,1.0,2.7,3.3,2.8,2.0
Fake Case 5,3.7,5.7,5.7,6.5,5.8,5.3,3.7,5.3,4.8,5.0,3.8,4.3,3.0,4.0,6.3,5.0,4.0,6.0,2.3,4.0,5.7,4.8,3.0
Fake Case 6,3.3,6.3,5.3,6.3,4.3,3.8,4.0,4.8,3.3,4.5,3.5,4.5,1.7,3.3,5.7,4.3,2.7,2.0,2.3,3.0,5.7,4.8,2.7
Fake Case 7,2.3,4.7,5.7,7.0,3.5,4.8,5.0,5.8,4.0,5.0,5.3,4.8,2.2,4.3,6.0,5.0,3.7,3.3,2.7,4.0,6.3,5.0,3.7
Fake Case 8,1.0,2.0,5.0,3.5,4.0,2.5,2.0,2.8,1.8,3.3,2.0,2.5,1.3,2.0,4.0,2.8,1.0,1.0,1.0,1.7,3.3,3.0,3.0
Fake Case 9,3.7,2.7,4.0,5.3,5.0,4.8,4.7,6.0,4.3,5.8,5.0,4.8,4.2,4.3,6.3,5.8,4.7,5.3,3.3,3.0,3.7,5.2,7.0
Fake Case 10,1.3,2.7,4.0,5.3,5.0,4.0,4.3,4.5,3.3,5.8,4.0,4.3,2.2,4.3,6.3,5.0,3.7,2.0,1.3,3.0,4.0,3.8,2.7
Fake Case 11,2.0,3.7,4.7,6.3,6.5,4.0,4.7,4.3,4.8,5.5,5.0,5.3,3.0,4.0,7.0,5.5,3.7,3.0,2.3,3.7,5.3,4.0,5.0
Fake Case 12,3.0,3.3,2.7,4.3,3.5,2.3,2.7,2.3,1.8,3.3,2.8,2.3,1.8,2.3,4.0,3.3,1.3,2.0,1.0,2.7,2.3,2.4,4.0
Fake Case 13,3.7,3.0,3.3,6.8,5.8,4.0,3.7,5.0,4.8,6.0,5.3,5.3,2.5,2.3,4.3,5.0,3.7,6.0,1.7,3.0,4.7,4.8,3.0
Fake Case 14,3.3,4.7,4.7,6.3,5.3,4.0,4.0,3.8,3.8,4.8,4.3,4.8,2.5,3.0,5.7,3.8,2.0,2.0,1.7,3.0,5.7,4.8,2.7
Fake Case 15,2.3,4.0,4.7,7.0,6.3,5.3,3.0,4.3,4.0,5.5,5.3,5.3,2.8,5.0,4.3,3.5,3.7,2.0,2.0,4.0,6.3,5.0,3.7
Fake Case 16,1.0,3.0,4.0,4.0,5.0,2.5,4.0,2.8,2.8,3.3,5.3,3.8,1.2,2.0,3.3,2.8,1.0,1.0,1.0,1.7,3.3,3.0,1.0
Fake Case 17,3.0,4.7,3.7,6.3,7.0,4.8,4.0,5.8,4.3,6.3,5.3,4.8,2.5,4.3,4.3,5.0,3.7,3.3,2.7,4.0,6.3,5.0,3.7
Fake Case 18,3.0,2.0,3.0,4.0,4.3,3.3,2.3,2.8,2.3,3.3,2.3,2.5,1.2,2.0,3.3,2.8,1.0,1.0,1.0,1.7,3.3,3.0,1.0
Fake Case 19,2.0,2.3,2.0,3.8,3.5,4.8,2.7,3.0,3.0,4.0,3.5,3.0,1.7,2.0,4.7,4.0,2.3,1.7,1.3,2.0,4.0,3.6,4.3
Fake Case 20,2.0,5.0,2.7,6.5,5.8,5.0,4.3,4.8,2.3,5.3,3.8,3.8,2.0,4.7,6.0,5.0,2.7,2.0,2.3,4.7,5.3,5.0,4.3
Fake Case 21,2.7,4.3,4.3,6.8,6.5,5.3,4.7,4.3,3.8,3.8,4.5,3.3,3.0,4.3,6.7,5.5,3.3,3.7,4.3,4.0,6.0,4.8,4.7
Fake Case 22,2.3,1.3,4.0,3.8,5.0,3.5,2.0,2.3,1.8,0.3,2.0,1.8,2.0,2.7,3.7,4.3,0.7,2.0,2.7,1.7,3.0,3.0,3.0
Fake Case 23,2.0,5.0,2.7,6.5,5.8,4.5,5.0,4.8,2.3,5.3,3.8,3.8,2.0,4.7,6.0,5.0,2.7,2.0,2.3,4.7,5.3,5.4,2.7
Fake Case 24,2.3,3.0,3.7,5.8,5.3,4.3,5.0,4.8,3.8,5.0,4.0,4.3,2.5,3.3,5.3,5.0,3.0,2.7,2.3,3.0,5.0,4.6,3.3
Fake Case 25,3.0,4.7,3.7,6.3,5.8,4.3,5.7,5.5,4.3,5.3,4.5,5.5,2.5,5.0,6.3,5.3,4.0,3.3,3.0,3.7,5.7,6.2,4.0
Fake Case 26,1.7,2.0,2.3,5.3,3.8,3.5,2.7,4.3,2.8,4.0,3.0,3.3,2.0,2.7,5.0,4.5,2.0,2.0,1.7,2.3,3.3,4.2,2.3
Fake Case 27,4.0,2.7,4.0,6.5,6.3,4.8,4.7,6.3,4.8,5.3,4.5,4.0,3.7,4.3,6.3,5.8,4.7,5.3,3.3,3.0,5.7,5.2,4.0
Fake Case 28,2.0,2.7,2.7,5.8,5.8,4.0,4.3,5.3,3.8,4.5,3.5,3.5,3.2,4.3,6.3,5.0,3.7,2.0,1.3,3.0,6.0,4.8,3.0
Fake Case 29,3.7,3.7,4.7,5.5,6.5,5.0,4.7,5.5,5.8,4.3,4.0,4.3,2.7,4.0,7.0,5.5,3.7,3.0,2.3,3.7,6.0,5.8,3.3
Fake Case 30,3.7,3.0,2.7,4.0,3.5,2.3,2.7,3.3,3.3,3.0,2.8,3.0,2.3,2.3,4.0,3.0,1.0,2.0,1.0,4.3,3.3,3.2,2.0
Fake Case 31,2.7,4.0,5.7,6.5,5.8,5.3,3.7,5.3,5.5,5.0,3.8,4.3,3.7,4.0,6.3,5.0,4.0,6.0,2.3,5.0,5.7,4.4,3.0
Fake Case 32,2.0,5.3,5.3,6.3,4.3,3.8,4.0,4.8,3.3,5.0,3.0,3.5,1.7,2.3,5.7,4.3,2.7,2.0,2.3,5.0,5.7,4.4,2.7
Fake Case 33,2.3,5.3,4.3,7.0,3.5,4.8,5.0,5.8,3.5,5.0,5.0,4.0,2.2,2.7,6.0,5.0,3.7,3.3,4.3,4.0,6.3,4.2,3.7
Fake Case 34,1.0,1.7,3.0,3.5,4.0,2.5,2.0,2.8,1.8,4.0,2.8,2.5,1.3,2.7,3.0,2.8,1.0,1.0,3.0,1.7,3.3,2.8,2.0
Fake Case 35,3.7,3.0,5.7,5.3,5.0,4.8,4.7,4.8,4.3,5.8,4.8,4.8,3.8,4.3,4.0,5.8,4.7,5.3,5.0,3.0,3.7,4.6,6.0
Fake Case 36,1.7,2.7,4.0,5.3,5.0,4.0,4.3,4.0,3.3,5.3,4.3,4.3,2.3,4.3,4.0,5.0,3.7,2.0,3.0,3.0,2.7,3.8,3.0
Fake Case 37,1.7,3.7,4.7,5.0,6.5,4.0,4.7,3.5,4.8,4.5,5.3,5.3,2.7,4.0,6.3,4.0,3.7,4.3,2.3,3.7,4.3,4.0,5.0
Fake Case 38,3.0,3.3,3.3,5.5,3.5,2.3,2.7,2.0,1.8,4.0,3.8,2.3,2.0,2.3,4.0,2.3,1.3,3.0,1.0,3.0,2.3,2.4,3.0
Fake Case 39,2.7,3.0,3.7,6.3,5.8,4.0,3.3,5.0,4.3,5.5,6.0,5.3,2.7,2.3,4.3,4.5,3.7,7.0,1.7,3.7,4.7,4.2,3.0
Fake Case 40,3.3,3.0,4.7,4.5,5.3,4.0,3.7,3.8,3.5,5.0,5.3,4.8,2.2,3.0,5.7,3.8,1.7,3.7,1.7,2.7,5.7,4.4,2.7
Fake Case 41,2.3,2.0,4.7,6.0,6.3,5.3,2.0,4.3,3.8,5.5,5.3,6.0,2.8,3.3,4.3,4.3,5.0,2.0,2.0,4.3,6.3,5.0,3.7
Fake Case 42,1.0,2.0,4.0,3.8,5.0,2.8,3.0,2.8,3.3,3.3,5.3,4.0,1.2,1.7,3.3,2.8,3.0,1.0,2.3,1.7,3.3,3.0,1.0
Fake Case 43,3.0,4.7,3.0,6.3,5.3,3.8,4.0,5.8,4.3,6.3,5.3,5.5,2.5,4.3,4.3,5.5,2.7,3.3,2.3,4.0,5.3,4.6,3.7
Fake Case 44,3.0,2.0,3.0,3.3,4.3,2.3,2.3,2.8,2.8,3.3,2.3,3.3,1.2,2.0,3.3,3.8,2.3,1.7,1.0,1.7,3.3,2.8,1.0
Fake Case 45,2.0,2.3,2.0,2.5,4.0,3.5,2.7,3.3,3.5,4.0,3.5,4.5,2.2,2.0,3.0,4.8,2.3,2.3,1.3,2.0,4.0,3.0,2.3
Fake Case 46,2.0,5.0,2.7,5.3,5.3,3.5,4.3,4.5,2.3,5.3,3.8,3.8,3.0,4.7,4.7,5.8,2.7,3.7,1.0,4.3,5.3,3.8,2.7
Fake Case 47,2.7,4.3,4.3,5.3,5.8,5.3,4.0,4.0,3.8,3.8,4.5,3.3,3.8,4.3,6.7,3.8,3.3,3.7,3.0,3.7,6.0,4.2,3.3
Fake Case 48,2.3,1.3,4.0,3.0,4.8,3.0,2.3,3.8,1.8,0.3,2.0,1.8,2.5,2.7,4.7,3.5,1.3,2.0,3.7,1.7,2.3,3.2,3.0
Fake Case 49,2.0,5.0,2.7,6.5,3.5,5.3,4.0,4.8,2.3,5.3,3.8,3.8,3.0,4.7,6.3,5.0,2.7,2.0,3.7,3.3,4.0,5.0,2.7
Fake Case 50,2.3,3.0,3.7,5.8,3.8,3.3,5.3,4.8,3.8,5.0,4.0,4.3,3.5,4.0,5.3,4.5,3.0,2.7,2.3,2.0,4.3,4.2,3.3